,latitude,longitude,state,rate,streak
0,61.385,-152.2683,Alaska,0.3333333333333333,1.8
1,32.799,-86.8073,Alabama,0.29107981220657275,1.4210526315789473
2,34.9513,-92.3809,Arkansas,0.4036697247706422,1.5833333333333333
3,33.7712,-111.3877,Arizona,0.29259259259259257,1.9166666666666667
4,36.17,-119.7462,California,0.2689695896073221,1.711578947368421
5,39.0646,-105.3272,Colorado,0.2939068100358423,2.0
6,41.5834,-72.7622,Connecticut,0.3108433734939759,1.320754716981132
7,39.3498,-75.5148,Delaware,0.3275862068965517,2.3636363636363638
8,27.8333,-81.717,Florida,0.28587962962962965,1.5360824742268042
9,32.9866,-83.6487,Georgia,0.3240058910162003,1.7435897435897436
10,21.1098,-157.5311,Hawaii,0.20253164556962025,1.75
11,42.0046,-93.214,Iowa,0.41875,1.7727272727272727
12,44.2394,-114.5103,Idaho,0.2553191489361702,2.0
13,40.3363,-89.0022,Illinois,0.3047945205479452,1.870748299319728
14,39.8647,-86.2604,Indiana,0.24183006535947713,1.7419354838709677
15,38.5111,-96.8005,Kansas,0.24817518248175183,1.8666666666666667
16,37.669,-84.6514,Kentucky,0.3619631901840491,1.6153846153846154
17,31.1801,-91.8749,Louisiana,0.28363636363636363,2.0384615384615383
18,42.2373,-71.5314,Massachusetts,0.243879472693032,1.6050420168067228
19,39.0724,-76.7902,Maryland,0.2812834224598931,1.6666666666666667
20,44.6074,-69.3977,Maine,0.1650485436893204,1.3333333333333333
21,43.3504,-84.5603,Michigan,0.2903225806451613,1.912280701754386
22,45.7326,-93.9196,Minnesota,0.30448717948717946,2.0
23,38.4623,-92.302,Missouri,0.254071661237785,2.2758620689655173
24,32.7673,-89.6812,Mississippi,0.25396825396825395,1.5
25,46.9048,-110.3261,Montana,0.2033898305084746,1.3333333333333333
26,35.6411,-79.8431,North Carolina,0.22466960352422907,1.7435897435897436
27,47.5362,-99.793,North Dakota,0.2222222222222222,1.0
28,41.1289,-98.2883,Nebraska,0.2,2.0
29,43.4108,-71.5653,New Hampshire,0.2635135135135135,1.7647058823529411
30,40.314,-74.5089,New Jersey,0.2597701149425287,1.75
31,34.8375,-106.2371,New Mexico,0.2597402597402597,1.7777777777777777
32,38.4199,-117.1219,Nevada,0.21487603305785125,1.4166666666666667
33,42.1497,-74.9384,New York,0.28617511520737327,1.635379061371841
34,40.3736,-82.7755,Ohio,0.314404432132964,1.978494623655914
35,35.5376,-96.9247,Oklahoma,0.3591549295774648,1.7
36,44.5672,-122.1269,Oregon,0.25333333333333335,1.3611111111111112
37,40.5773,-77.264,Pennsylvania,0.25301204819277107,1.63
38,41.6772,-71.5101,Rhode Island,0.16363636363636364,1.5555555555555556
39,33.8191,-80.9066,South Carolina,0.29098360655737704,1.4
40,44.2853,-99.4632,South Dakota,0.20512820512820512,1.0
41,35.7449,-86.7489,Tennessee,0.22627737226277372,1.7241379310344827
42,31.106,-97.6475,Texas,0.30453108535300316,1.7570093457943925
43,40.1135,-111.8535,Utah,0.2898550724637681,11.375
44,37.768,-78.2057,Virginia,0.2982791586998088,1.5748031496062993
45,44.0407,-72.7093,Vermont,0.25806451612903225,1.8
46,47.3917,-121.5708,Washington,0.2833333333333333,1.6129032258064515
47,44.2563,-89.6385,Wisconsin,0.21631205673758866,1.6666666666666667
48,38.468,-80.9696,West Virginia,0.37681159420289856,2.2222222222222223
49,42.7475,-107.2085,Wyoming,0.3076923076923077,1.0
