,state,winnings,latitude,longitude
0,Vermont,6327,44.0407,-72.7093
1,Oklahoma,6348,35.5376,-96.9247
2,Kansas,5045,38.5111,-96.8005
3,Michigan,5340,43.3504,-84.5603
4,Arkansas,8495,34.9513,-92.3809
5,Idaho,8982,44.2394,-114.5103
6,Missouri,5078,38.4623,-92.302
7,Maine,3109,44.6074,-69.3977
8,Utah,22754,40.1135,-111.8535
9,Nebraska,5745,41.1289,-98.2883
10,South Dakota,5234,44.2853,-99.4632
11,Alabama,4755,32.799,-86.8073
12,Wisconsin,3951,44.2563,-89.6385
13,Delaware,9228,39.3498,-75.5148
14,Kentucky,7887,37.669,-84.6514
15,Texas,5369,31.106,-97.6475
16,Maryland,5002,39.0724,-76.7902
17,South Carolina,5031,33.8191,-80.9066
18,Iowa,6428,42.0046,-93.214
19,Washington,5792,47.3917,-121.5708
20,California,4963,36.17,-119.7462
21,Georgia,5869,32.9866,-83.6487
22,New Mexico,4607,34.8375,-106.2371
23,Virginia,5018,37.768,-78.2057
24,Rhode Island,3672,41.6772,-71.5101
25,Florida,4879,27.8333,-81.717
26,Wyoming,4662,42.7475,-107.2085
27,Ohio,6512,40.3736,-82.7755
28,Hawaii,3567,21.1098,-157.5311
29,Illinois,5675,40.3363,-89.0022
30,Arizona,4799,33.7712,-111.3877
31,Massachusetts,5074,42.2373,-71.5314
32,New Jersey,5410,40.314,-74.5089
33,Minnesota,6452,45.7326,-93.9196
34,Mississippi,4725,32.7673,-89.6812
35,New Hampshire,5884,43.4108,-71.5653
36,Tennessee,4494,35.7449,-86.7489
37,New York,5637,42.1497,-74.9384
38,Pennsylvania,4860,40.5773,-77.264
39,Connecticut,4413,41.5834,-72.7622
40,Louisiana,5047,31.1801,-91.8749
41,West Virginia,6034,38.468,-80.9696
42,Alaska,7451,61.385,-152.2683
43,North Dakota,2024,47.5362,-99.793
44,North Carolina,5328,35.6411,-79.8431
45,Indiana,5118,39.8647,-86.2604
46,Nevada,2730,38.4199,-117.1219
47,Colorado,6152,39.0646,-105.3272
48,Montana,2465,46.9048,-110.3261
49,Oregon,3238,44.5672,-122.1269
